,Player ID,Season,Team ID,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
1,cf23126f-055b-4617-819b-bb4bcb84541a,2012,768c92aa-75ff-4a43-bcc0-f2798c2e1724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
2,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
3,5812204c-6dae-4450-8011-99e0f72864ac,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
4,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,2012,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
5,4a38cda2-e92f-47f8-b324-0c34e09d83f2,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0
6,769d7178-df4e-4127-8166-8116165921e8,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0
7,e6c40f79-1bbd-4f62-9391-7f535f110c0d,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
8,eeb9e3f4-e378-44ca-94b6-a724011ad710,2012,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,8,0,0.0,0.0
9,170b4c5f-a345-4899-8d81-e8982b0f3d65,2012,97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
10,2142a164-48ad-47d6-bb27-0bc58c6b2e62,2012,97354895-8c77-4fd4-a860-32e62ea7382a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
