,Player ID,Birth Date
0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,1982-11-24
1,8fc65820-f565-44e2-8635-3e1cdf165bf6,1987-10-24
2,cf23126f-055b-4617-819b-bb4bcb84541a,1987-11-21
3,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,1989-02-13
4,5812204c-6dae-4450-8011-99e0f72864ac,1988-07-27
5,969a4d68-1d76-4e64-bfff-e898a9ac6bd4,1989-10-12
6,a212c5d8-67f8-48b9-99be-2c121ee56366,1991-04-25
7,4a38cda2-e92f-47f8-b324-0c34e09d83f2,1988-10-27
8,769d7178-df4e-4127-8166-8116165921e8,1988-11-08
9,e6c40f79-1bbd-4f62-9391-7f535f110c0d,1986-11-11
10,170b4c5f-a345-4899-8d81-e8982b0f3d65,1989-01-27
11,2142a164-48ad-47d6-bb27-0bc58c6b2e62,1989-05-14
12,2bb70d56-a79a-4fa1-ae37-99858a3ffd55,1986-05-22
13,3058b3c8-0fa3-4bd4-9df9-6a56a7b4af88,1989-05-30
14,41c44740-d0f6-44ab-8347-3b5d515e5ecf,1977-08-03
15,9d04accc-a404-406f-b93c-0878410e55a6,1988-07-23
16,9d404288-65c5-414f-8ea5-ceb97eccaea0,1985-09-09
17,a527b7db-0b52-4379-9e4c-2e08c1fe1bed,1984-01-28
18,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,1990-01-26
19,1726a359-9444-4761-a1f2-cb35ee6fa60e,1989-08-23
20,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,1990-03-12
21,3289f9ce-e1d1-40ed-9d3f-242a1712c586,1987-10-05
22,b44773b9-af17-4d6c-a453-132e20849712,1988-06-16
23,b6325c85-c313-4cfb-a299-9884d5e9e389,1991-01-27
24,c9701373-23f6-4058-9189-8d9c085f3c49,1988-07-31
25,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,1987-10-29
26,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,1982-03-02
27,01291a8d-d97c-4d88-b497-b5ad4b72f626,1983-10-14
28,3699dfd9-d437-43f7-b674-adbb31e7e64b,1986-09-05
29,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,1989-12-29
30,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,1986-05-15
31,b228c353-bb1f-4ba8-aa6d-d18ecf297259,1991-04-13
32,d81844de-54c3-42ee-9850-072dc4131b6f,1980-12-18
33,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,1975-01-23
34,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,1989-11-21
35,46bb9a85-523c-4530-95c3-2c2a9737e65f,1987-07-25
36,64797df2-efd3-4b27-86ee-1d48f7edb09f,1985-01-16
37,7f3ef024-eb34-46af-8b9e-544cdf09378f,1989-08-03
38,a735765c-3ca8-4557-b06e-a30fd415982c,1989-01-26
39,c323cdb9-74bc-4d68-9358-609f80eedbb7,1989-02-14
40,16e33176-b73e-49b7-b0aa-c405b47a706e,1988-07-10
41,af4ba620-2f00-4b00-9111-7897f2b1cde8,1985-10-13
42,b37b5be9-4771-4368-988f-fb936f4fc0ad,1986-08-01
43,ea357add-1a41-4a8b-8f34-bbfade7f4d98,1982-03-02
44,fd4e8681-f2f4-47c7-b954-a72be9b1ca00,1987-03-17
